ID,density,gas_v_stp_v,surface,volum_access,PLD,LCD,valfraction,C,H,N,O,F,Cl,Br,total_unsaturation,per_c_unsaturation,electric_atom_to_total,weighted_electric_per_atom,gas_sorption,gas_desorption,gas_desor_vstpv,gas_sor_vstpv
0 1 1 4 1,0.49898,146.1077417,4882.28,1828.2,14.10808,15.37543,0.5026,54,48,12,0,12,0,0,31,0.57,0.19,0.67,16.89729289,3.810788306,42.54655396,188.6542957
0 1 1 4 2,0.589121,143.0670803,4047.71,1753.49,13.8797,15.17546,0.48206,54,48,12,0,0,12,0,31,0.57,0.19,0.57,14.54020325,3.686728951,48.59730001,191.6643803
0 1 1 4 3,0.832628,93.56742663,2848.59,1718.57,13.68251,15.06842,0.47246,54,48,12,0,0,0,12,31,0.57,0.19,0.55,6.89387683,1.871523693,34.86685445,128.4342811
0 1 1 4 4,0.482551,146.9728056,5031.42,1815.91,14.08201,15.2723,0.49922,54,48,12,12,0,0,0,37,0.69,0.19,0.62,18.27025843,4.658089293,50.29414821,197.2669538
0 1 1 4 5,0.488073,148.801318,5017.11,1781.28,14.08201,15.2723,0.4897,54,60,12,12,0,0,0,31,0.57,0.17,0.57,18.25904939,4.633451542,50.60061981,199.4019378
0 1 1 4 6,0.47716,143.7992602,5096.85,1785.06,14.05725,15.24688,0.49074,54,60,24,0,0,0,0,37,0.69,0.17,0.52,17.83326797,4.36455202,46.59830631,190.3975665
0 1 1 4 7,0.482682,148.6926495,5134.4,1748.03,13.99784,15.24688,0.48056,54,72,24,0,0,0,0,31,0.57,0.16,0.48,18.69673489,4.929016674,53.23384291,201.9264924
0 1 1 4 8,0.646926,120.8686774,3855.8,1618.39,13.15909,14.70122,0.44492,54,48,24,24,0,0,0,43,0.8,0.32,1.04,11.69496703,3.344846663,48.41692984,169.2856071
0 1 1 4 9,0.466226,151.7312215,5139.9,1754.07,13.93379,15.22913,0.48222,66,60,12,0,0,0,0,43,0.65,0.09,0.26,19.22178364,4.676840193,48.78827323,200.5194947
0 1 1 5 0,0.438711,144.367349,5426.27,1742.54,13.55647,14.82071,0.4789,60,72,12,0,0,0,0,31,0.52,0.08,0.25,20.66615244,5.95915456,58.49646221,202.8638111
